gender,senior_citizen,partner,dependents,tenure,online_security,online_backup,tech_support,streaming_tv,streaming_movies,payment_method,contract_type,paperless_billing,monthly_charges,total_charges,churn
Female,0,Yes,No,38,No,No,Yes,Yes,No,Mailed check,Two year,Yes,24.45,821.41,No
Male,0,Yes,Yes,53,No,Yes,Yes,No,No,Electronic check,Two year,Yes,49.7,2607.32,No
Male,0,Yes,No,33,Yes,Yes,Yes,Yes,Yes,Electronic check,Two year,Yes,46.14,1470.76,No
Female,0,No,No,30,Yes,No,No,No,Yes,Bank transfer (automatic),Month-to-month,No,53.91,1481.83,Yes
Female,0,Yes,No,58,Yes,No,No,Yes,No,Mailed check,Month-to-month,Yes,77.2,4556.02,No
Male,1,Yes,No,57,Yes,Yes,Yes,No,Yes,Bank transfer (automatic),Month-to-month,No,82.98,4755.32,Yes
Female,0,Yes,No,15,Yes,No,Yes,No,No,Mailed check,Month-to-month,No,45.84,717.57,No
Male,0,Yes,Yes,60,No,No,No,Yes,No,Credit card (automatic),Two year,No,51.05,3050.03,No
Female,0,No,No,24,Yes,No,No,No,No,Bank transfer (automatic),One year,Yes,96.0,2323.04,Yes
Female,1,Yes,Yes,10,Yes,No,No,Yes,Yes,Bank transfer (automatic),One year,Yes,110.93,1090.25,Yes
Male,0,No,No,64,No,Yes,Yes,No,Yes,Mailed check,Month-to-month,No,100.14,6445.73,Yes
Male,0,Yes,Yes,18,No,Yes,Yes,Yes,No,Credit card (automatic),Month-to-month,No,30.49,557.29,No
Male,0,Yes,Yes,15,Yes,Yes,No,No,Yes,Mailed check,Two year,No,98.55,1476.54,No
Male,1,Yes,No,20,Yes,No,No,Yes,No,Credit card (automatic),Month-to-month,No,114.49,2291.52,Yes
Male,0,Yes,No,36,No,No,No,No,Yes,Mailed check,Month-to-month,Yes,29.3,1120.65,No
Male,0,No,No,12,Yes,No,No,Yes,Yes,Electronic check,One year,Yes,95.98,1159.35,Yes
Male,0,Yes,Yes,12,No,No,Yes,No,Yes,Bank transfer (automatic),One year,Yes,75.41,858.53,No
Female,1,Yes,No,29,No,Yes,No,Yes,Yes,Mailed check,Month-to-month,Yes,62.15,1817.44,Yes
Male,0,No,Yes,16,Yes,Yes,Yes,Yes,No,Electronic check,Month-to-month,No,72.55,1182.78,No
Female,0,No,Yes,14,No,Yes,Yes,No,No,Mailed check,One year,No,80.64,1122.42,No
Male,1,No,No,66,Yes,Yes,No,Yes,No,Electronic check,Two year,Yes,97.78,6451.27,No
Female,0,No,Yes,43,Yes,No,No,No,No,Credit card (automatic),Month-to-month,Yes,96.54,4103.43,Yes
Female,0,No,No,1,Yes,No,No,No,Yes,Bank transfer (automatic),One year,Yes,33.83,38.2,Yes
Male,0,No,Yes,8,No,Yes,No,Yes,Yes,Electronic check,Month-to-month,Yes,54.43,380.8,Yes
Male,0,No,Yes,59,Yes,No,No,No,No,Bank transfer (automatic),One year,No,72.25,4251.2,No
Male,0,Yes,No,20,Yes,Yes,No,Yes,Yes,Bank transfer (automatic),Month-to-month,No,107.73,2124.55,Yes
Female,0,No,Yes,11,No,No,Yes,No,Yes,Bank transfer (automatic),Two year,Yes,18.0,242.23,No
Male,0,Yes,No,48,Yes,Yes,No,No,Yes,Bank transfer (automatic),One year,No,55.34,2726.07,No
Male,1,No,No,61,No,No,No,Yes,No,Electronic check,Month-to-month,Yes,33.33,1981.67,Yes
Female,0,No,Yes,29,No,Yes,No,Yes,Yes,Electronic check,Month-to-month,No,37.13,1076.71,Yes
Female,0,Yes,No,54,No,Yes,No,No,Yes,Bank transfer (automatic),One year,No,93.66,5043.55,No
Female,0,No,Yes,31,No,No,No,No,No,Bank transfer (automatic),Month-to-month,Yes,57.23,1795.18,Yes
Female,0,No,No,8,No,Yes,Yes,Yes,No,Bank transfer (automatic),One year,No,18.0,148.33,No
Male,0,Yes,Yes,58,Yes,No,Yes,Yes,Yes,Electronic check,Month-to-month,Yes,66.2,3822.02,Yes
Male,1,No,No,67,No,Yes,No,Yes,No,Credit card (automatic),Month-to-month,No,118.86,7967.88,Yes
Female,1,No,No,71,No,No,Yes,No,Yes,Mailed check,One year,Yes,26.64,1881.74,No
Male,0,No,No,8,No,Yes,No,No,Yes,Bank transfer (automatic),Month-to-month,Yes,82.79,733.84,Yes
Male,0,Yes,No,41,No,No,Yes,Yes,Yes,Electronic check,Two year,No,107.62,4376.91,No
Female,0,Yes,No,45,No,No,No,No,Yes,Bank transfer (automatic),Month-to-month,Yes,68.81,3108.21,Yes
Male,0,No,No,6,No,No,No,No,Yes,Credit card (automatic),Month-to-month,Yes,116.27,720.57,Yes
Female,0,Yes,No,69,Yes,Yes,No,No,No,Electronic check,Month-to-month,No,54.16,3757.08,No
Male,0,Yes,No,8,No,No,No,Yes,Yes,Credit card (automatic),Month-to-month,Yes,104.7,824.22,Yes
Male,0,Yes,No,20,No,Yes,Yes,Yes,No,Bank transfer (automatic),One year,No,99.04,2042.34,Yes
Female,0,Yes,No,70,No,No,No,Yes,Yes,Electronic check,Month-to-month,Yes,69.22,4751.35,No
Female,0,No,Yes,41,Yes,No,No,No,Yes,Electronic check,Month-to-month,Yes,34.31,1357.36,Yes
Male,0,No,No,49,No,No,No,Yes,No,Bank transfer (automatic),Two year,No,45.96,2281.83,No
Female,0,No,No,36,No,No,Yes,Yes,No,Electronic check,Month-to-month,Yes,18.0,608.4,No
Male,0,No,No,55,No,Yes,Yes,No,Yes,Electronic check,Month-to-month,Yes,84.26,4592.04,No
Male,0,Yes,Yes,6,No,Yes,No,No,Yes,Credit card (automatic),Two year,Yes,81.38,467.28,Yes
Male,0,Yes,No,49,No,Yes,No,Yes,No,Bank transfer (automatic),One year,Yes,71.9,3487.81,Yes
Male,0,Yes,Yes,5,Yes,No,No,Yes,Yes,Bank transfer (automatic),Month-to-month,Yes,67.05,363.94,Yes
Female,0,Yes,No,13,Yes,Yes,No,Yes,No,Bank transfer (automatic),Two year,Yes,102.58,1374.27,No
Female,0,Yes,No,37,No,No,No,Yes,No,Mailed check,Month-to-month,Yes,77.15,2858.42,No
Female,0,Yes,Yes,33,Yes,No,No,Yes,Yes,Bank transfer (automatic),Month-to-month,No,56.69,1918.18,No
Female,0,Yes,No,11,No,No,No,Yes,No,Electronic check,Month-to-month,Yes,73.53,746.48,Yes
Female,1,Yes,Yes,58,Yes,Yes,No,Yes,Yes,Electronic check,Two year,Yes,119.14,6913.54,Yes
Male,0,No,No,22,Yes,Yes,No,No,No,Bank transfer (automatic),Month-to-month,Yes,84.93,1929.16,Yes
Female,0,No,No,63,Yes,Yes,No,No,No,Credit card (automatic),Two year,Yes,60.64,3864.4,No
Male,0,No,No,2,No,No,No,Yes,No,Mailed check,Month-to-month,No,68.93,202.5,Yes
Male,1,No,No,18,No,Yes,Yes,No,No,Credit card (automatic),Month-to-month,Yes,81.12,1433.63,Yes
Male,0,No,Yes,22,No,Yes,Yes,Yes,No,Bank transfer (automatic),Two year,Yes,59.89,1358.94,No
Male,1,Yes,No,43,No,Yes,No,No,Yes,Mailed check,Two year,Yes,57.77,2464.95,No
Female,0,No,No,29,No,No,No,No,Yes,Mailed check,Month-to-month,No,69.73,2048.9,No
Male,0,Yes,Yes,12,Yes,No,Yes,No,Yes,Electronic check,Month-to-month,Yes,106.46,1336.49,Yes
Female,0,Yes,No,42,No,Yes,No,No,Yes,Bank transfer (automatic),One year,Yes,88.98,3701.57,No
Female,0,Yes,No,69,No,Yes,No,Yes,No,Electronic check,Month-to-month,No,60.17,4068.31,No
Male,0,Yes,No,10,Yes,Yes,No,Yes,No,Mailed check,Month-to-month,No,90.86,991.7,Yes
Female,0,Yes,No,19,No,Yes,No,No,No,Electronic check,Month-to-month,Yes,70.21,1355.88,Yes
Female,0,No,No,35,Yes,No,Yes,Yes,Yes,Credit card (automatic),Two year,Yes,78.27,2734.64,No
Female,1,No,No,53,Yes,No,No,No,Yes,Mailed check,Month-to-month,Yes,76.09,4025.32,Yes
Male,0,No,Yes,10,No,No,Yes,Yes,Yes,Mailed check,Month-to-month,No,19.35,99.21,No
Female,0,No,No,17,No,No,No,Yes,No,Mailed check,Month-to-month,Yes,18.0,315.39,No
Female,0,No,No,17,Yes,No,Yes,No,Yes,Electronic check,Month-to-month,Yes,75.44,1258.59,Yes
